Depth,2022,2023,2024
486.495346,-65.20567173,-65.95702935,-65.86821089
487.499483,-65.24384094,-65.93740048,-65.89650922
488.50362,-65.26132956,-65.96589435,-65.90717219
489.507757,-65.30207037,-65.99319016,-65.91603936
490.493637,-65.32179361,-65.99895851,-65.92557488
491.497775,-65.36308303,-65.98449588,-65.94610547
492.501912,-65.41065058,-66.03884399,-65.96414636
493.506049,-65.45463753,-65.9503285,-65.98222161
494.510186,-65.49697167,-66.09858202,-66.01506419
495.496066,-65.53176228,-66.03228339,-66.03305763
496.500204,-65.56545399,-66.19397064,-66.0672339
497.504341,-65.61079639,-66.3031765,-66.12043491
498.490221,-65.64721695,-66.3565736,-66.15814099
499.494358,-65.68974106,-66.40401557,-66.20620756
500.498495,-65.73337825,-66.46972332,-66.24848587
501.502633,-65.75788837,-66.51372524,-66.29321183
502.50677,-65.79695798,-66.55717951,-66.32705745
503.49265,-65.81194428,-66.595953,-66.3622391
504.496787,-65.84515402,-66.64945322,-66.407482
505.500924,-65.87819918,-66.67672458,-66.4289578
506.505062,-65.90869212,-66.70820148,-66.46065889
507.509199,-65.93301252,-66.73859147,-66.48832537
508.495079,-65.95429546,-66.77056418,-66.50490622
509.499216,-65.99121677,-66.79249812,-66.5253679
510.503353,-66.01735866,-66.82732269,-66.55590932
511.489233,-66.04855238,-66.83211922,-66.6042326
512.493371,-66.07738264,-66.86292453,-66.63770892
513.497508,-66.1137874,-66.8790603,-66.64651147
514.501645,-66.13589715,-66.91046531,-66.66003823
515.505782,-66.16474091,-66.93071681,-66.66459876
516.491662,-66.18740804,-66.97291662,-66.68868196
517.4958,-66.22756094,-67.00273631,-66.71765801
518.499937,-66.26383978,-67.02349771,-66.72757911
519.504074,-66.29010269,-67.07131598,-66.74245767
520.508211,-66.32940235,-67.10059588,-66.7782732
521.494091,-66.37676462,-67.14291224,-66.79284683
522.498229,-66.42599518,-67.19170872,-66.79530364
523.502366,-66.45349371,-67.21532395,-66.81242062
524.506503,-66.4870354,-67.26958435,-66.83245
525.51064,-66.52754927,-67.30938411,-66.84426034
526.49652,-66.57136773,-67.33307861,-66.86572967
527.500658,-66.6118301,-67.34746367,-66.88849306
528.504795,-66.64814864,-67.39376102,-66.91436723
529.490675,-66.68752929,-67.39456203,-66.94087804
530.494812,-66.73718765,-67.42835491,-66.96364123
531.498949,-66.78831129,-67.44999799,-66.99499056
532.503087,-66.85573362,-67.47987117,-67.0027799
533.507224,-66.93499824,-67.50467584,-67.0271896
534.493104,-67.02213943,-67.5212424,-67.0556161
535.497241,-67.08895371,-67.55374782,-67.09196911
536.501378,-67.14974567,-67.58067146,-67.14131552
537.505516,-67.2134898,-67.59895145,-67.17372691
538.509653,-67.27813674,-67.62344544,-67.22918595
539.495533,-67.32910222,-67.64063943,-67.28042689
540.49967,-67.39100499,-67.64520275,-67.32145889
541.503807,-67.44288968,-67.67321961,-67.3512604
542.489687,-67.52165518,-67.67886578,-67.38392792
543.493825,-67.58101036,-67.70444726,-67.42321872
544.497962,-67.6602504,-67.73580891,-67.46733423
